FPA Women’s Health Oxnard CA,805-822-5879 / 877-883-7264,"1700 Lombard Street #110 Oxnard, California 93030",www.fpawomenshealth.com/oxnard,34.21695,-119.148
FPA Women’s Health Oakland CA,510-899-7099 / 877-883-7264,"400 29th Street #301 Oakland, California 94609",www.fpawomenshealth.com/oakland,37.81803,-122.265
FPA Women’s Health Modesto CA,209-578-0443 / 877-883-7264,"2030 Coffee Road Modesto, California 95355",www.fpawomenshealth.com/modesto,37.67371,-120.975
FPA Women’s Health Mission Hills CA,818-893-6949 / 877-883-7264,"10200 Sepulveda Boulevard Mission Hills, California 91345",www.fpawomenshealth.com/mission-hills,34.25564,-118.467
UCLA Center for Reproductive Services,310-825-5961,"1010 Veteran Avenue Los Angeles, California 90095",www.obgyn.ucla.edu,34.06054,-118.448
FPA Women’s Health Los Angeles Downtown CA,213-738-7283/ 877-883-7264,"601 South Westmoreland Avenue Los Angeles, California 90005",www.fpawomenshealth.com/los-angeles-downtown,34.06346,-118.289
FPA Women’s Health Long Beach CA,562-595-5653 / 877-883-7264,"2777 Long Beach Boulevard #200 Long Beach, California 90806",www.fpawomenshealth.com/long-beach,33.80733,-118.19
FPA Women's Health Inglewood CA,323-987-8879 /877-883-7264,"301 N Prairie Ave., Suite 611 Inglewood, CA 90301",www.fpawomenshealth.com/inglewood,33.96574,-118.344
FPA Women’s Health Glendale CA,818-502-1341 / 877-883-7264,"372 Arden Avenue #200 Glendale, California 91203",www.fpawomenshealth.com/glendale,34.1581,-118.261
FPA Women’s Health Fresno CA,559-233-8657 / 877-883-7264,"165 North Clark Street Fresno, California 93701",www.fpawomenshealth.com/fresno,36.74452,-119.787
FPA Women’s Health El Cajon CA,858-547-7100 / 877-883-7264,"1625 East Main Street #202 El Cajon, California 92021",www.fpawomenshealth.com/el-cajon,32.80941,-116.92
FPA Women’s Health East Los Angeles CA,323-201-9343 / 877-883-7264,"4922 Whittier Blvd East Los Angeles, California 90022",https://www.fpawomenshealth.com/los-angeles/east-la,34.02143,-118.163
FPA Women’s Health Downey CA,562-862-5121 / 877-883-7264,"8635 Firestone Boulevard Downey, California 90242",www.fpawomenshealth.com/downey,33.93724,-118.126
FPA Women’s Health Canoga Park CA,818-444-9870 / 877-883-7264,"7023 Owensmouth Avenue Canoga Park, California 91303",www.fpawomenshealth.com/canoga-park,34.19808,-118.602
FPA Women’s Health Bakersfield CA,661-633-5266 / 877-883-7264,"2500 H Street Bakersfield, California 93301",fpawomenshealth.com/bakersfield,35.38232,-119.021
Women’s Health Specialists - Redding,(530) 221-0193,"1901 Victor Avenue Redding, California 96002",https://www.womenshealthspecialists.org/our-locations/,40.57858,-122.338
Women's Health Specialists - Chico,(530) 891-1911,"1469 Humboldt Road Suite 200 Chico, California 95928",https://www.womenshealthspecialists.org/our-locations/,39.73511,-121.816
The Women’s Options Center,(415) 353-7003,"2356 Sutter St. San Francisco, California 94143-1648",https://www.ucsfhealth.org/programs/womens_options_center/,37.78546,-122.439
Sinai Medical Center,310-846-8828,"99 North La Cienega Boulevard Beverly Hills, CA 90211",http://www.prochoicemedical.com/,34.06729,-118.377
Cedars Sinai Family Planning Services Clinic,(310) 423-3946,"444 S San Vicente Blvd #1003, Los Angeles, CA 90048",https://www.cedars-sinai.org/programs/gynecology/clinical-programs/family-planning.html,34.06985,-118.375
"My Choice Medical Center, Inc.",(866) 397-3070,"7232 Van Nuys Blvd #202 Van Nuys, CA, 91405",http://www.mychoicemedicalcenter.com/,34.20235,-118.448
"My Choice Medical Center, Inc.",(866) 397-3070,"4903 W. Pico Blvd #202 Los Angeles, CA, 90019",http://www.mychoicemedicalcenter.com/,34.04819,-118.344
Women's Community Clinic,(415) 379-7800,"1735 Mission St, San Francisco, CA 94103",http://womenscommunityclinic.org/,37.76942,-122.42
Women's Options Center San Francisco General Hospital Campus,(415) 206-8476,"1001 Potrero Ave, San Francisco, CA 94110",https://www.ucsfhealth.org/clinics/womens-options-center,37.75573,-122.405
Planned Parenthood Alhambra Health Center,626-798-0706,"330 S. Garfield Avenue, 3rd Fl. - Suite 300 Alhambra, CA 91801",https://www.plannedparenthood.org/health-center/california/alhambra/91801/alhambra-health-center-3561-90090,34.09145,-118.124
Planned Parenthood Anaheim Health Center,714-922-4100,"303 W. Lincoln Ave., #105 Anaheim, CA 92805",https://www.plannedparenthood.org/health-center/california/anaheim/92805/anaheim-health-center-2284-90160,33.83524,-117.918
Planned Parenthood Antioch Health Center,925-754-4550,"1104 Buchanan Road #C10 Antioch, CA 94509",https://www.plannedparenthood.org/health-center/california/antioch/94509/antioch-health-center-2573-90200,37.99886,-121.823
Planned Parenthood Bakersfield Health Center,661-634-1000,"2633 16th Street Bakersfield, CA 93301",https://www.plannedparenthood.org/health-center/california/bakersfield/93301/bakersfield-health-center-4028-90130,35.37218,-119.033
Planned Parenthood Baldwin Park Center,626-798-0706,"4070 Sterling Way Baldwin Park, CA 91706",https://www.plannedparenthood.org/health-center/california/baldwin-park/91706/baldwin-park-center-9990-90090,34.0849,-117.962
Planned Parenthood Burbank Health Center,800-576-5544,"916 W Burbank Blvd. #M Burbank, CA 91506",https://www.plannedparenthood.org/health-center/california/burbank/91506/burbank-health-center-2236-90070,34.18361,-118.323
Planned Parenthood Canoga Park Health Center,800-576-5544,"21001 Sherman Way #9 Canoga Park, CA 91303",https://www.plannedparenthood.org/health-center/california/canoga-park/91303/canoga-park-health-center-2235-90070,34.20215,-118.591
Planned Parenthood Carson Health Center,800-576-5544,"661 East University Drive Carson, CA 90746",https://www.plannedparenthood.org/health-center/california/carson/90746/carson-health-center-4291-90070,33.85831,-118.264
Planned Parenthood Chico Health Center,530-342-8367,"3100 Cohasset Rd. Chico, CA 95973",https://www.plannedparenthood.org/health-center/california/chico/95973/chico-health-center-2770-90200,39.77188,-121.843
Planned Parenthood Chula Vista Center,888-743-7526,"1295 Broadway #201 Chula Vista, CA 91911",https://www.plannedparenthood.org/health-center/california/chula-vista/91911/chula-vista-center-2328-90110,32.60428,-117.078
Planned Parenthood Clearlake Health Center,707-995-2261,"14671 Olympic Drive Clearlake, CA 95422",https://www.plannedparenthood.org/health-center/california/clearlake/95422/clearlake-health-center-4068-90200,38.96167,-122.638
Planned Parenthood Coachella Center,888-743-7526,"49-111 California 111 #6A Coachella, CA 92236 Compton, CA 90221",https://www.plannedparenthood.org/health-center/california/coachella/92236/coachella-center-2186-90110,33.69262,-116.186
Planned Parenthood Compton Health Center,800-576-5544,4402 East Compton Blvd Suite #104,https://www.plannedparenthood.org/health-center/california/compton/90221/compton-health-center-4290-90070,33.89614,-118.194
Planned Parenthood Concord Health Center,925-676-0300,"2185 Pacheco Street Concord, CA 94520",https://www.plannedparenthood.org/health-center/california/concord/94520/concord-health-center-3269-90200,37.97908,-122.035
Planned Parenthood Costa Mesa Health Center,714-922-4100,"1520 Nutmeg Place Suite 101 Costa Mesa, CA 92626",https://www.plannedparenthood.org/health-center/california/costa-mesa/92626/costa-mesa-health-center-2286-90160,33.6826,-117.92
Planned Parenthood El Cajon Center,888-743-7526,"1685 E. Main Street #301 El Cajon, CA 92021",https://www.plannedparenthood.org/health-center/california/el-cajon/92021/el-cajon-center-2329-90110,32.81112,-116.919
Planned Parenthood Imperial Valley Health Center,760-594-9100,"1463 South 4th Street El Centro, CA 92243",https://www.plannedparenthood.org/health-center/california/el-centro/92243/imperial-valley-health-center-4182-90110,32.78044,-115.551
Planned Parenthood El Cerrito Health Center,510-527-5806,"320 El Cerrito Plaza El Cerrito, CA 94530",https://www.plannedparenthood.org/health-center/california/el-cerrito/94530/el-cerrito-health-center-3940-90200,37.89931,-122.298
Planned Parenthood El Monte Health Center,800-576-5544,"4786 N. Peck Road, Ste. B El Monte, CA 91732",https://www.plannedparenthood.org/health-center/california/el-monte/91732/el-monte-health-center-2322-90070,34.09018,-118.014
Planned Parenthood Escondido Center,888-743-7526,"347 W. Mission Avenue Escondido, CA 92025",https://www.plannedparenthood.org/health-center/california/escondido/92025/escondido-center-2331-90110,33.12821,-117.09
Planned Parenthood Eureka Health Center,707-442-5700,"3225 Timber Fall Court Suite B Eureka, CA 95503",https://www.plannedparenthood.org/health-center/california/eureka/95503/eureka-health-center-2301-90200,40.779,-124.135
Planned Parenthood Fairfield Health Center,707-429-8855,"1325 Travis Blvd. #C Fairfield, CA 94533",https://www.plannedparenthood.org/health-center/california/fairfield/94533/fairfield-health-center-2700-90200,38.25772,-122.052
Planned Parenthood Family First Health Center,559-446-1515,"6095 N. 1st Street Fresno, CA 93710",https://www.plannedparenthood.org/health-center/california/fresno/93710/family-first-health-center-2365-90130,36.82522,-119.774
Planned Parenthood Fulton Street Health Center,559-488-4900,"650 N. Fulton Street Fresno, CA 93728",https://www.plannedparenthood.org/health-center/california/fresno/93728/fulton-street-health-center-2364-90130,36.75213,-119.8
Planned Parenthood Gilroy Health Center,408-847-1739,"760 Renz Lane Gilroy, CA 95020",https://www.plannedparenthood.org/health-center/california/gilroy/95020/gilroy-health-center-2433-90130,37.00412,-121.556
Planned Parenthood Glendora Health Center,626-798-0706,"130 W Route 66 Glendora, CA 91740",https://www.plannedparenthood.org/health-center/california/glendora/91740/glendora-health-center-4070-90090,34.12823,-117.865
Planned Parenthood Hayward Health Center,510-300-3800,"1032 A Street Hayward, CA 94541",https://www.plannedparenthood.org/health-center/california/hayward/94541/hayward-health-center-4150-90130,37.6746,-122.083
Planned Parenthood Lakewood Health Center,800-576-5544,"5525 E Del Amo Blvd. Lakewood, CA 90713",https://www.plannedparenthood.org/health-center/california/lakewood/90713/lakewood-health-center-2359-90070,33.84733,-118.124
Planned Parenthood South Bay Health Center,800-576-5544,"14623 Hawthorne Blvd. #300 Lawndale, CA 90260",https://www.plannedparenthood.org/health-center/california/lawndale/90260/south-bay-health-center-2477-90070,33.89858,-118.353
Planned Parenthood Long Beach Health Center,800-576-5544,"2690 Pacific Avenue, Ste. 370 Long Beach, CA 90806",https://www.plannedparenthood.org/health-center/california/long-beach/90806/long-beach-health-center-3945-90070,33.8059,-118.193
Planned Parenthood Dorothy Hecht Health Center,800-576-5544,"8520 So. Broadway Los Angeles, CA 90003",https://www.plannedparenthood.org/health-center/california/los-angeles/90003/dorothy-hecht-health-center-2465-90070,33.96096,-118.278
Planned Parenthood Eagle Rock Health Center,626-798-0706,"1578 Colorado Blvd. Los Angeles, CA 90041",https://www.plannedparenthood.org/health-center/california/los-angeles/90041/eagle-rock-health-center-3093-90090,34.13898,-118.201
Planned Parenthood East Los Angeles Health Center,800-576-5544,"5068 Whittier Blvd. Los Angeles, CA 90022",https://www.plannedparenthood.org/health-center/california/los-angeles/90022/east-los-angeles-health-center-3375-90070,34.02085,-118.16
Planned Parenthood Hollywood Health Center,800-576-5544,"1014 1/2 N Vermont Ave Los Angeles, CA 90029",https://www.plannedparenthood.org/health-center/california/los-angeles/90029/hollywood-health-center-2466-90070,34.09018,-118.291
Planned Parenthood S. Mark Taper Foundation Center for Medical Training,800-576-5544,"400 West 30th Street Los Angeles, CA 90007",https://www.plannedparenthood.org/health-center/california/los-angeles/90007/s-mark-taper-foundation-center-for-medical-training-3862-90070,34.02368,-118.276
Planned Parenthood Bixby Health Center,800-576-5544,"1057 Kingston Avenue Los Angeles, CA 90033",https://www.plannedparenthood.org/health-center/california/los-angeles/90033/bixby-health-center-4289-90070,34.05716,-118.21
Planned Parenthood Madera Health Center,559-675-1133,"500 E. Almond Suite #1 Madera, CA 93637",https://www.plannedparenthood.org/health-center/california/madera/93637/madera-health-center-2363-90130,36.94536,-120.051
Planned Parenthood Merced Health Center,209-723-7751,"3166 Collins Dr. Merced, CA 95348",https://www.plannedparenthood.org/health-center/california/merced/95348/merced-health-center-2526-90130,37.3202,-120.476
Planned Parenthood Mission Viejo Health Center,714-922-4100,"26137 La Paz Rd., #200 Mission Viejo, CA 92691",https://www.plannedparenthood.org/health-center/california/mission-viejo/92691/mission-viejo-health-center-2288-90160,33.60111,-117.674
Planned Parenthood Moreno Valley Center,888-743-7526,"12900 Frederick Street, Suite C Moreno Valley, CA 92553",https://www.plannedparenthood.org/health-center/california/moreno-valley/92553/moreno-valley-center-2188-90110,33.93285,-117.261
Planned Parenthood Mountain View Health Center,650-948-0807,"2500 California Street Mountain View, CA 94040",https://www.plannedparenthood.org/health-center/california/mountain-view/94040/mountain-view-health-center-2310-90130,37.40349,-122.106
Planned Parenthood Napa Health Center,707-252-8050,"1735 Jefferson Street Napa, CA 94559",https://www.plannedparenthood.org/health-center/california/napa/94559/napa-health-center-2702-90200,38.30353,-122.295
Planned Parenthood North Highlands Health Center,916-332-5715,"5700 Watt Ave. North Highlands, CA 95660",https://www.plannedparenthood.org/health-center/california/north-highlands/95660/north-highlands-health-center-2201-90130,38.67051,-121.382
Planned Parenthood West Oakland Health Center,510-300-3800,"1682 7th Street Oakland, CA 94607",https://www.plannedparenthood.org/health-center/california/oakland/94607/west-oakland-health-center-4090-90130,37.80674,-122.3
Planned Parenthood East Oakland / Coliseum Health Center,510-746-4700,"8480 Enterprise Way Oakland, CA 94621",https://www.plannedparenthood.org/health-center/california/oakland/94621/east-oakland-coliseum-health-center-4188-90130,37.74229,-122.192
Planned Parenthood Orange Health Center,714-922-4100,"700 S. Tustin St. Orange, CA 92866",https://www.plannedparenthood.org/health-center/california/orange/92866/orange-health-center-3264-90160,33.77693,-117.836
Planned Parenthood Antelope Valley Health Center,800-576-5544,"533 E. Palmdale Boulevard, Ste. 533-A1 Palmdale, CA 93550",https://www.plannedparenthood.org/health-center/california/palmdale/93550/antelope-valley-health-center-4054-90070,34.58061,-118.119
Planned Parenthood Pasadena Health Center,626-798-0706,"1045 N. Lake Ave. Pasadena, CA 91104",https://www.plannedparenthood.org/health-center/california/pasadena/91104/pasadena-health-center-3265-90090,34.16404,-118.133
Planned Parenthood Pomona Health Center,800-576-5544,"1550 N Garey Avenue Pomona, CA 91767",https://www.plannedparenthood.org/health-center/california/pomona/91767/pomona-health-center-2208-90070,34.0736,-117.752
Planned Parenthood Rancho Mirage Surgical Services Center,888-743-7526,"71777 San Jacinto Drive, Suite 202 Rancho Mirage, CA 92270",https://www.plannedparenthood.org/health-center/california/rancho-mirage/92270/rancho-mirage-surgical-services-center-3267-90110,33.74371,-116.413
Planned Parenthood Redding Health Center,530-351-7100,"2935 Bechelli Lane Redding, CA 96002",plannedparenthood.org/health-center/california/redding/96002/redding-health-center-2376-90200,40.56451,-122.362
Planned Parenthood Redwood City Health Center,650-503-7810,"2907 El Camino Real Redwood City, CA 94061",https://www.plannedparenthood.org/health-center/california/redwood-city/94061/redwood-city-health-center-4129-90130,37.46924,-122.211
Planned Parenthood Hilltop-Richmond Health Center,510-222-5290,"2970 Hilltop Mall Road #307 Richmond, CA 94806",https://www.plannedparenthood.org/health-center/california/richmond/94806/hilltop-richmond-health-center-2791-90200,37.97762,-122.329
Planned Parenthood Riverside Flaster Family Health Center,888-743-7526,"3772 Tibbetts Riverside, CA 92506",https://www.plannedparenthood.org/health-center/california/riverside/92506/riverside-flaster-family-health-center-2187-90110,33.94657,-117.399
Planned Parenthood Roseville Health Center,916-781-3310,"29 Sunrise Ave. Suite 900 Roseville, CA 95661",https://www.plannedparenthood.org/health-center/california/roseville/95661/roseville-health-center-2197-90130,38.73387,-121.27
Planned Parenthood Capitol Plaza Health Center,916-444-7966,"1125 10th Street Sacramento, CA 95814",https://www.plannedparenthood.org/health-center/california/sacramento/95814/capitol-plaza-health-center-2199-90130,38.57823,-121.494
Planned Parenthood B Street Health Center,916-446-6921,"201 29th Street, Ste. B Sacramento, CA 95816",https://www.plannedparenthood.org/health-center/california/sacramento/95816/b-street-health-center-2200-90130,38.58191,-121.464
Planned Parenthood Fruitridge Health Center,916-452-7305,"5385 Franklin Blvd., Suite A-D Sacramento, CA 95820",https://www.plannedparenthood.org/health-center/california/sacramento/95820/fruitridge-health-center-2198-90130,38.52646,-121.471
Planned Parenthood Salinas Health Center,831-758-8261,"316 N. Main Street Salinas, CA 93901",https://www.plannedparenthood.org/health-center/california/salinas/93901/salinas-health-center-2228-90130,36.68267,-121.653
Planned Parenthood San Bernardino Health Center,909-890-5511,"1873 S. Commercenter Dr. W. San Bernardino, CA 92408",https://www.plannedparenthood.org/health-center/california/san-bernardino/92408/san-bernardino-health-center-2282-90160,34.0678,-117.286
Planned Parenthood First Avenue Family Planning Michelle Wagner Center,888-743-7526,"2017 First Avenue San Diego, CA 92101",https://www.plannedparenthood.org/health-center/california/san-diego/92101/first-avenue-family-planning-michelle-wagner-center-4037-90110,32.72652,-117.164
Planned Parenthood Mission Bay Mimi Brien Health Center,888-743-7526,"4501 Mission Bay Drive San Diego, CA 92109",https://www.plannedparenthood.org/health-center/california/san-diego/92109/mission-bay-mimi-brien-health-center-2330-90110,32.80341,-117.216
Planned Parenthood Mira Mesa Center,888-743-7526,"10717 Camino Ruiz Suite #258 San Diego, CA 92126",https://www.plannedparenthood.org/health-center/california/san-diego/92126/mira-mesa-center-2333-90110,32.91376,-117.143
Planned Parenthood Kearny Mesa Center,888-743-7526,"7526 Clairemont Mesa Blvd. San Diego, CA 92111",https://www.plannedparenthood.org/health-center/california/san-diego/92111/kearny-mesa-center-2332-90110,32.83347,-117.157
Planned Parenthood College Avenue Sarah Weddington Center,888-743-7526,"4575 College Ave San Diego, CA 92115",https://www.plannedparenthood.org/health-center/california/san-diego/92115/college-avenue-sarah-weddington-center-2324-90110,32.76034,-117.067
Planned Parenthood Euclid Avenue Parker Center,888-743-7526,"220 Euclid Ave, Suite 30 San Diego, CA 92114",https://www.plannedparenthood.org/health-center/california/san-diego/92114/euclid-avenue-parker-center-2334-90110,32.70616,-117.086
Planned Parenthood San Francisco Health Center,415-821-1282,"1650 Valencia St San Francisco, CA 94110",https://www.plannedparenthood.org/health-center/california/san-francisco/94110/san-francisco-health-center-3997-90200,37.74613,-122.42
Planned Parenthood Eastside Health Center,408-729-7600,"3131 Alum Rock Avenue San Jose, CA 95127",https://www.plannedparenthood.org/health-center/california/san-jose/95127/eastside-health-center-2435-90130,37.36653,-121.827
Planned Parenthood San Jose Central Health Center,408-287-7526,"1691 The Alameda San Jose, CA 95126",https://www.plannedparenthood.org/health-center/california/san-jose/95126/san-jose-central-health-center-3263-90130,37.33714,-121.92
Planned Parenthood Blossom Hill Health Center,408-281-9777,"5440 Thornwood Drive San Jose, CA 95123",https://www.plannedparenthood.org/health-center/california/san-jose/95123/blossom-hill-health-center-3230-90130,37.25399,-121.86
Planned Parenthood San Luis Obispo Center,888-898-3806,"743 Pismo Street San Luis Obispo, CA 93401",https://www.plannedparenthood.org/health-center/california/san-luis-obispo/93401/san-luis-obispo-center-2252-90170,35.27682,-120.662
Planned Parenthood San Mateo Health Center,650-235-7940,"29 Baywood Ave San Mateo, CA 94402",https://www.plannedparenthood.org/health-center/california/san-mateo/94402/san-mateo-health-center-4104-90130,37.56451,-122.329
Planned Parenthood San Rafael Health Center,415-459-4907,"2 H Street San Rafael, CA 94901",https://www.plannedparenthood.org/health-center/california/san-rafael/94901/san-rafael-health-center-4114-90200,37.97437,-122.538
Planned Parenthood San Ramon Health Center,925-838-2108,"200 Porter Drive, Suite 200 San Ramon, CA 94583",https://www.plannedparenthood.org/health-center/california/san-ramon/94583/san-ramon-health-center-2572-90200,37.77376,-121.99
Planned Parenthood Santa Ana Health Center,714-922-4100,"1421 E. 17th St. Santa Ana, CA 92705",https://www.plannedparenthood.org/health-center/california/santa-ana/92705/santa-ana-health-center-2287-90160,33.76021,-117.848
Planned Parenthood Santa Barbara Center,888-898-3806,"518 Garden Street Santa Barbara, CA 93101",https://www.plannedparenthood.org/health-center/california/santa-barbara/93101/santa-barbara-center-3268-90170,34.42103,-119.692
Planned Parenthood Westside Health Center,831-426-5550,"1119 Pacific Ave. Suite 200 Santa Cruz, CA 95060",https://www.plannedparenthood.org/health-center/california/santa-cruz/95060/westside-health-center-2232-90130,36.97222,-122.026
Planned Parenthood Santa Maria Center,888-898-3806,"415 E Chapel Street Santa Maria, CA 93454",https://www.plannedparenthood.org/health-center/california/santa-maria/93454/santa-maria-center-2250-90170,34.95464,-120.431
Planned Parenthood Santa Monica Health Center,800-576-5544,"1316 3rd Street Promenade #201 Santa Monica, CA 90401",https://www.plannedparenthood.org/health-center/california/santa-monica/90401/santa-monica-health-center-2476-90070,34.01647,-118.498
Planned Parenthood Santa Rosa Health Center,707-527-7656,"1140 Sonoma Avenue Building 3 Santa Rosa, CA 95405",https://www.plannedparenthood.org/health-center/california/santa-rosa/95405/santa-rosa-health-center-3990-90200,38.44095,-122.7
Planned Parenthood Seaside Health Center,831-394-1691,"625 Hilby Ave. Seaside, CA 93955",https://www.plannedparenthood.org/health-center/california/seaside/93955/seaside-health-center-2233-90130,36.60275,-121.85
Planned Parenthood South San Francisco Health Center,877-855-7526,"435 Grand Avenue South San Francisco, CA 94080",https://www.plannedparenthood.org/health-center/california/south-san-francisco/94080/south-san-francisco-health-center-4255-90130,37.65562,-122.414
Planned Parenthood Eastland Plaza Health Center,209-466-2081,"678 N Wilson Way #G Stockton, CA 95205",https://www.plannedparenthood.org/health-center/california/stockton/95205/eastland-plaza-health-center-2529-90130,37.96219,-121.271
Planned Parenthood North Stockton Health Center,209-477-4103,"4555 Precissi Lane Stockton, CA 95207",https://www.plannedparenthood.org/health-center/california/stockton/95207/north-stockton-health-center-2528-90130,37.9891,-121.315
Planned Parenthood Thousand Oaks Center,888-898-3806,"1200 W Hillcrest Thousand Oaks, CA 91320",https://www.plannedparenthood.org/health-center/california/thousand-oaks/91320/thousand-oaks-center-3851-90170,34.18487,-118.907
Planned Parenthood Tracy Health Center,209-835-8910,"1441 N. Tracy Blvd. Tracy, CA 95376",https://www.plannedparenthood.org/health-center/california/tracy/95376/tracy-health-center-3856-90130,37.74473,-121.435
Planned Parenthood Ukiah Health Center,707-462-4303,"242-A Hospital Drive Ukiah, CA 95482",https://www.plannedparenthood.org/health-center/california/ukiah/95482/ukiah-health-center-4034-90200,39.15253,-123.204
Planned Parenthood Upland Health Center,909-890-5511,"918 W. Foothill Blvd., #A Upland, CA 91786",https://www.plannedparenthood.org/health-center/california/upland/91786/upland-health-center-2283-90160,34.10633,-117.664
Planned Parenthood Vallejo Health Center,707-643-4545,"303 Sacramento Street Vallejo, CA 94590",https://www.plannedparenthood.org/health-center/california/vallejo/94590/vallejo-health-center-2699-90200,38.09971,-122.259
Planned Parenthood Van Nuys Health Center,800-576-5544,"7100 Van Nuys Blvd. #108 Van Nuys, CA 91405",https://www.plannedparenthood.org/health-center/california/van-nuys/91405/van-nuys-health-center-2234-90070,34.19969,-118.448
Planned Parenthood Ventura Center,888-898-3806,"5400 Ralston Street Ventura, CA 93003",https://www.plannedparenthood.org/health-center/california/ventura/93003/ventura-center-2251-90170,34.25949,-119.218
Planned Parenthood Victorville Health Center,909-890-5511,"15403 Park Ave. E. Victorville, CA 92392",https://www.plannedparenthood.org/health-center/california/victorville/92392/victorville-health-center-4082-90160,34.50666,-117.324
Planned Parenthood Vista Isabella Health Center,888-743-7526,"1964 Via Centre Vista, CA 92081",https://www.plannedparenthood.org/health-center/california/vista/92081/vista-isabella-health-center-4186-90110,33.18382,-117.284
Planned Parenthood Walnut Creek Health Center,925-935-3010,"1357 Oakland Blvd. Walnut Creek, CA 94596",https://www.plannedparenthood.org/health-center/california/walnut-creek/94596/walnut-creek-health-center-2571-90200,37.89784,-122.071
Planned Parenthood Watsonville Health Center,831-724-7525,"398 South Green Valley Road Watsonville, CA 95076",https://www.plannedparenthood.org/health-center/california/watsonville/95076/watsonville-health-center-2229-90130,36.93028,-121.776
Planned Parenthood West Hollywood Health Center,800-576-5544,"825 N. San Vicente Blvd. West Hollywood, CA 90069",https://www.plannedparenthood.org/health-center/california/west-hollywood/90069/west-hollywood-health-center-4187-90070,34.08548,-118.385
Planned Parenthood Westminster Health Center,714-922-4100,"14372 Beach Blvd. Westminster, CA 92683",https://www.plannedparenthood.org/health-center/california/westminster/92683/westminster-health-center-2285-90160,33.75284,-117.989
Planned Parenthood Jones Center,800-576-5544,"7655 Greenleaf Ave Whittier, CA 90602",https://www.plannedparenthood.org/health-center/california/whittier/90602/jones-center-2358-90070,33.97202,-118.038
Planned Parenthood Woodland Health Center,530-662-4646,"520 Cottonwood Street Suite 10 Woodland, CA 95695",https://www.plannedparenthood.org/health-center/california/woodland/95695/woodland-health-center-2375-90130,38.67507,-121.794
Planned Parenthood Yuba City Health Center,530-674-2603,"430 Palora Ave. #G Yuba City, CA 95991",https://www.plannedparenthood.org/health-center/california/yuba-city/95991/yuba-city-health-center-2374-90130,39.12814,-121.634
